略称	正式名称
行旅法	行旅病人及行旅死亡人取扱法
失火責任法	明治三十二年法律第四十号（失火ノ責任ニ関スル法律）
失火法	明治三十二年法律第四十号（失火ノ責任ニ関スル法律）
担信法	担保付社債信託法
外嘱法	外国裁判所ノ嘱託ニ因ル共助法
旧刑法施行法　抄	刑法施行法
埋立法	公有水面埋立法
定年に因る退職判事検察官の恩給に関する法律	大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）
健保法	健康保険法
民訴法	民事訴訟法中改正法律施行法
兼営法	金融機関の信託業務の兼営等に関する法律
財政援助制限法	昭和二十一年法律第二十四号（法人に対する政府の財政援助の制限に関する法律）
労働三法	労働関係調整法
労調法	労働関係調整法
物統令	物価統制令
学教法	学校教育法
労基法	労働基準法
労災法	労働者災害補償保険法
労災保険法	労働者災害補償保険法
独占禁止法	昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）
独禁法	昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）
下級裁設立管轄区域法	下級裁判所の設立及び管轄区域に関する法律
地自法	地方自治法
国公法	国家公務員法
国賠法	国家賠償法
農協法	農業協同組合法
職安法	職業安定法
児福法	児童福祉法
災害減免法	昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）
農災法	農業保険法
法務大臣権限法	国の利害に関係のある訴訟についての法務大臣の権限等に関する法律
あはき法	あん摩マツサージ指圧師、はり師、きゆう師等に関する法律
歳費法	国会議員の歳費、旅費及び手当等に関する法律
国会議員歳費法	国会議員の歳費、旅費及び手当等に関する法律
国民審査法	最高裁判所裁判官国民審査法
議院証言法	議院における証人の宣誓及び証言等に関する法律
ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令	昭和二十二年政令第五十二号（ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令）
金商法	金融商品取引法
証取法	金融商品取引法
墓地埋葬法	墓地、埋葬等に関する法律
裁判官報酬法	裁判官の報酬等に関する法律
検察官俸給法	検察官の俸給等に関する法律
地財法	地方財政法
風営適正化法	風俗営業等の規制及び業務の適正化等に関する法律
風適法	風俗営業等の規制及び業務の適正化等に関する法律
風営法	風俗営業等の規制及び業務の適正化等に関する法律
刑訴法	刑事訴訟法
教科書発行法	教科書の発行に関する臨時措置法
警職法	警察官職務執行法
化製場法	化製場等に関する法律
検審法	検察審査会法
料団法	損害保険料率算出団体に関する法律
生協法	消費生活協同組合法
保助看法	保健師助産師看護師法
水協法	水産業協同組合法
刑訴法施行法	刑事訴訟法施行法
国民祝日法	国民の祝日に関する法律
祝日法	国民の祝日に関する法律
保安四法	消防法
政治資金法	政治資金規正法
競輪法	自転車競技法
教特法	教育公務員特例法
教育免許法	教育職員免許法
教育免許法施行法　抄	教育職員免許法施行法
労組法	労働組合法
中協法	中小企業等協同組合法
中協法施行法　抄	中小企業等協同組合法施行法
協金法	協同組合による金融事業に関する法律
ＪＩＳ法	産業標準化法
ジス法	産業標準化法
広告法	屋外広告物法
お年玉法	お年玉付郵便葉書等に関する法律
外為法	外国為替及び外国貿易法
外国為替法	外国為替及び外国貿易法
特別職職員給与法	特別職の職員の給与に関する法律
特別職給与法	特別職の職員の給与に関する法律
国立国会図書館支部図書館法	国立国会図書館法の規定により行政各部門に置かれる支部図書館及びその職員に関する法律
支払遅延防止法	政府契約の支払遅延防止等に関する法律
身福法	身体障害者福祉法
身障者福祉法	身体障害者福祉法
旅費法	国家公務員等の旅費に関する法律
火取法	火薬類取締法
植防法	植物防疫法
暫定法	農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律
予責法	予算執行職員等の責任に関する法律
ジャス法	日本農林規格等に関する法律
ＪＡＳ法	日本農林規格等に関する法律
執行経費基準法	国会議員の選挙等の執行経費の基準に関する法律
選挙執行経費基準法	国会議員の選挙等の執行経費の基準に関する法律
国政選挙執行経費基準法	国会議員の選挙等の執行経費の基準に関する法律
建基法	建築基準法
交付税法	地方交付税法
地公法	地方公務員法
土地利用調整法	鉱業等に係る土地利用の調整手続等に関する法律
毒劇物取締法	毒物及び劇物取締法
毒劇法	毒物及び劇物取締法
精神保健福祉法	精神保健及び精神障害者福祉に関する法律
一般職給与法	一般職の職員の給与に関する法律
一般職職員給与法	一般職の職員の給与に関する法律
公選法	公職選挙法
オートレース法	小型自動車競走法
国公共済法の規定による年金の額の改定に関する法律	国家公務員共済組合法の規定による年金の額の改定に関する法律
社福法	社会福祉法
農業委員会法	農業委員会等に関する法律
負担法	公共土木施設災害復旧事業費国庫負担法
投信法	投資信託及び投資法人に関する法律
国有林野管理経営法	国有林野の管理経営に関する法律
北海道港湾工事法	北海道開発のためにする港湾工事に関する法律
家伝法	家畜伝染病予防法
官公法	官公庁施設の建設等に関する法律
日刊新聞法	日刊新聞紙の発行を目的とする株式会社の株式の譲渡の制限等に関する法律
民調法	民事調停法
入管法	出入国管理及び難民認定法
在外公館名称位置給与法	在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律
名称位置法	在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律
民特法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う民事特別法
民事特別法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う民事特別法
遺族援護法	戦傷病者戦没者遺族等援護法
刑特法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う刑事特別法
刑事特別法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う刑事特別法
米軍用地特措法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法
駐留軍用地特別措置法	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法
保証事業法	公共工事の前払金保証事業に関する法律
長銀法	長期信用銀行法
ＩＭＦ等加盟措置法	国際通貨基金及び国際復興開発銀行への加盟に伴う措置に関する法律
破防法	破壊活動防止法
防衛省給与法	防衛省の職員の給与等に関する法律
防衛省職員給与法	防衛省の職員の給与等に関する法律
地公労法	地方公営企業等の労働関係に関する法律
輸取法	輸出入取引法
特土法	特殊土壌地帯災害防除及び振興臨時措置法
宅建業法	宅地建物取引業法
法廷秩序維持法	法廷等の秩序維持に関する法律
酒団法	酒税の保全及び酒類業組合等に関する法律
酒類業組合法	酒税の保全及び酒類業組合等に関する法律
麻向法	麻薬及び向精神薬取締法
留守家族援護法	未帰還者留守家族等援護法
スト規制法	電気事業及び石炭鉱業における争議行為の方法の規制に関する法律
国援法	国の援助等を必要とする帰国者に関する領事官の職務等に関する法律
私学共済法	私立学校教職員共済法
特損法	日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律
特別損失補償法	日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律
学災法	公立学校施設災害復旧費国庫負担法
飼料安全法	飼料の安全性の確保及び品質の改善に関する法律
刑訴法第百九十四条に基く懲戒処分に関する法律	刑事訴訟法第百九十四条に基く懲戒処分に関する法律
利限法	利息制限法
厚生年金法	厚生年金保険法
就学奨励法	特別支援学校への就学奨励に関する法律
中確法	義務教育諸学校における教育の政治的中立の確保に関する臨時措置法
義務教育中立法	義務教育諸学校における教育の政治的中立の確保に関する臨時措置法
ＭＳＡ秘密保護法	日米相互防衛援助協定等に伴う秘密保護法
日米秘密保護法	日米相互防衛援助協定等に伴う秘密保護法
ＭＤＡ秘密保護法	日米相互防衛援助協定等に伴う秘密保護法
防衛秘密保護法	日米相互防衛援助協定等に伴う秘密保護法
酪肉振興法	酪農及び肉用牛生産の振興に関する法律
出資法	出資の受入れ、預り金及び金利等の取締りに関する法律
ＪＲＡ法	日本中央競馬会法
奄美法	奄美群島振興開発特別措置法
奄振法	奄美群島振興開発特別措置法
輸徴法	輸入品に対する内国消費税の徴収等に関する法律
自賠法	自動車損害賠償保障法
補助金等適正化法	補助金等に係る予算の執行の適正化に関する法律
補助金適正化法	補助金等に係る予算の執行の適正化に関する法律
産休法	女子教職員の出産に際しての補助教職員の確保に関する法律
教特法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律	教育公務員特例法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律
天災融資法	天災による被害農林漁業者等に対する資金の融通に関する暫定措置法
就学奨励援助法	就学困難な児童及び生徒に係る就学奨励についての国の援助に関する法律
